"county_name","county_stops_total","count_arrests_total","asian/pacific islander","black","hispanic","other","unknown","white"
"Alamance County",189030,5785,0.00328435609334486,0.390838375108038,0.183923941227312,0.00259291270527226,0.00328435609334486,0.416076058772688
"Alexander County",90665,841,0.00832342449464923,0.124851367419738,0.079667063020214,0,0.00356718192627824,0.78359096313912
"Alleghany County",61714,45,0,0.0222222222222222,0.0444444444444444,0,0,0.933333333333333
"Anson County",66233,701,0.00427960057061341,0.356633380884451,0.0984308131241084,0.00285306704707561,0.00855920114122682,0.529243937232525
"Ashe County",5206,52,0,0.0192307692307692,0.153846153846154,0,0,0.826923076923077
"Avery County",46459,292,0.00342465753424658,0.023972602739726,0.102739726027397,0,0.00342465753424658,0.866438356164384
"Beaufort County",93958,1208,0,0.346854304635762,0.0869205298013245,0.00165562913907285,0.00579470198675497,0.558774834437086
"Bertie County",49790,841,0,0.686087990487515,0.0332936979785969,0.00356718192627824,0.00594530321046373,0.271105826397146
"Bladen County",88780,431,0,0.382830626450116,0.109048723897912,0.0301624129930394,0.00464037122969838,0.473317865429234
"Brunswick County",119181,2394,0.000835421888053467,0.14578111946533,0.0760233918128655,0.006265664160401,0.0087719298245614,0.762322472848789
"Buncombe County",165964,5034,0.00258243941199841,0.187326181962654,0.0703218116805721,0.00317838696861343,0.00278108859753675,0.733810091378625
"Burke County",78378,976,0.0184426229508197,0.155737704918033,0.127049180327869,0.00102459016393443,0.00614754098360656,0.691598360655738
"Cabarrus County",229718,3455,0.00636758321273517,0.290882778581766,0.109696092619392,0.00231548480463097,0.00434153400868307,0.586396526772793
"Caldwell County",97517,983,0.0081383519837233,0.127161749745677,0.0742624618514751,0.00203458799593082,0.00305188199389624,0.785350966429298
"Camden County",59259,323,0.0123839009287926,0.334365325077399,0.043343653250774,0,0.00309597523219814,0.606811145510836
"Carteret County",60733,1489,0.00201477501678979,0.106783075889859,0.0624580255204835,0.00134318334452653,0.00604432505036938,0.821356615177972
"Caswell County",26635,229,0.00873362445414847,0.432314410480349,0.0393013100436681,0,0,0.519650655021834
"Catawba County",196938,2377,0.0210349179638199,0.217501051745898,0.102229701304165,0.000420698359276399,0.00252419015565839,0.656289440471182
"Chatham County",67685,687,0.00873362445414847,0.251819505094614,0.161572052401747,0.00291120815138282,0.00291120815138282,0.572052401746725
"Cherokee County",63264,828,0,0.0338164251207729,0.035024154589372,0.0555555555555556,0.00241545893719807,0.873188405797101
"Chowan County",2462,30,0,0.5,0.0333333333333333,0,0,0.466666666666667
"Clay County",5821,210,0,0.019047619047619,0.0523809523809524,0.00476190476190476,0,0.923809523809524
"Cleveland County",76212,1333,0.00600150037509377,0.369092273068267,0.0397599399849963,0.00225056264066016,0.00375093773443361,0.579144786196549
"Columbus County",24436,139,0,0.287769784172662,0.107913669064748,0.0575539568345324,0.0143884892086331,0.532374100719424
"Craven County",69893,418,0.00956937799043062,0.296650717703349,0.0478468899521531,0,0.00956937799043062,0.636363636363636
"Cumberland County",413761,8221,0.00559542634715971,0.583748935652597,0.0670234764627174,0.0232331833110327,0.00669018367595183,0.313708794550541
"Currituck County",82167,1258,0.00158982511923688,0.0834658187599364,0.0445151033386327,0.00238473767885533,0.00556438791732909,0.86248012718601
"Dare County",56526,1422,0.00281293952180028,0.0675105485232067,0.0773558368495077,0.00140646976090014,0.00281293952180028,0.848101265822785
"Davidson County",123759,1560,0.0102564102564103,0.237179487179487,0.108974358974359,0.00192307692307692,0.00448717948717949,0.637179487179487
"Davie County",41396,325,0.00307692307692308,0.138461538461538,0.08,0.00615384615384615,0.0123076923076923,0.76
"Duplin County",87426,1211,0.00247729149463253,0.273327828241123,0.245251857968621,0.00330305532617671,0.014037985136251,0.461601981833196
"Durham County",244500,5145,0.00408163265306122,0.554324586977648,0.235374149659864,0.000388726919339164,0.00816326530612245,0.197667638483965
"Edgecombe County",118438,1419,0.00211416490486258,0.695560253699789,0.076814658210007,0.00211416490486258,0.00352360817477097,0.219873150105708
"Forsyth County",384048,5425,0.00423963133640553,0.360184331797235,0.128479262672811,0.00313364055299539,0.00202764976958525,0.501935483870968
"Franklin County",75051,972,0.00205761316872428,0.516460905349794,0.0936213991769547,0.00411522633744856,0.0113168724279835,0.372427983539095
"Gaston County",148320,3245,0.011402157164869,0.327272727272727,0.0804314329738059,0.000308166409861325,0.00338983050847458,0.577195685670262
"Gates County",8042,79,0,0.556962025316456,0,0.0126582278481013,0,0.430379746835443
"Graham County",1618,5,0,0.2,0.2,0,0,0.6
"Granville County",14738,268,0,0.440298507462687,0.0970149253731343,0,0.00746268656716418,0.455223880597015
"Greene County",42405,554,0.00180505415162455,0.388086642599278,0.247292418772563,0,0.00180505415162455,0.36101083032491
"Guilford County",568191,11877,0.0127136482276669,0.526479750778816,0.0921949987370548,0.00420981729392944,0.00589374421150122,0.358508040751031
"Halifax County",96888,1423,0.0028109627547435,0.671117357695011,0.0252986647926915,0.0105411103302881,0.0084328882642305,0.281799016163036
"Harnett County",69197,409,0,0.39119804400978,0.117359413202934,0.0122249388753056,0.00244498777506112,0.476772616136919
