INDX_NR,SPECIES_ID,SPECIES
812817,ZT001,Eastern meadowlark
812810,UNKB,Unknown bird
811608,T1002,Chimney swift
813004,T1002,Chimney swift
812908,1G11,White-tailed deer
819874,UNKB,Unknown bird
812684,1C2112,Evening bat
818744,UNKB,Unknown bird
811531,T1002,Chimney swift
812727,Z4003,House wren
820079,UNKB,Unknown bird
812616,UNKBS,Unknown bird - small
812889,1C2,Microbats
819876,UNKBL,Unknown bird - large
821964,UNKBS,Unknown bird - small
812861,O2205,Mourning dove
812864,O2205,Mourning dove
1063320,K3304,Red-shouldered hawk
812802,1F11,Coyote
821808,YI005,Barn swallow
812352,ZT001,Eastern meadowlark
812740,N5111,Killdeer
821937,UNKBS,Unknown bird - small
811653,O2205,Mourning dove
1065522,O2205,Mourning dove
819889,T1002,Chimney swift
812224,UNKBS,Unknown bird - small
1036545,UNKBS,Unknown bird - small
812569,1C2101,Eastern red bat
821813,1C2,Microbats
818803,UNKB,Unknown bird
820082,UNKBS,Unknown bird - small
811900,O2205,Mourning dove
812277,UNKBS,Unknown bird - small
812290,R2203,Great horned owl
821957,UNKBS,Unknown bird - small
821942,UNKBS,Unknown bird - small
811739,YI009,Cliff swallow
811942,UNKBS,Unknown bird - small
820063,ZT001,Eastern meadowlark
819900,UNKBS,Unknown bird - small
821946,ZT001,Eastern meadowlark
811676,O2205,Mourning dove
817876,UNKB,Unknown bird
821949,J2204,Canada goose
811686,UNKB,Unknown bird
811912,UNKBS,Unknown bird - small
821945,YI005,Barn swallow
822686,K1001,Black vulture
819890,UNKBL,Unknown bird - large
811022,1C2,Microbats
819879,UNKBS,Unknown bird - small
811279,UNKBS,Unknown bird - small
819872,UNKBS,Unknown bird - small
1063802,NE114,Laughing gull
811353,ZX310,Grasshopper sparrow
811451,YI005,Barn swallow
811435,YI009,Cliff swallow
1064093,R1101,Barn owl
820080,N5111,Killdeer
821812,1C2,Microbats
811360,O2111,Rock pigeon
810998,YI005,Barn swallow
821955,YL001,European starling
822683,UNKB,Unknown bird
822687,UNKB,Unknown bird
817877,UNKBS,Unknown bird - small
811477,UNKBS,Unknown bird - small
811094,UNKBS,Unknown bird - small
811373,YI005,Barn swallow
973347,YM11,Crows
810866,YL001,European starling
811258,N5111,Killdeer
810602,T1002,Chimney swift
811372,T1002,Chimney swift
818967,UNKB,Unknown bird
810883,N5111,Killdeer
817878,UNKB,Unknown bird
811340,UNKBS,Unknown bird - small
810752,ZT001,Eastern meadowlark
811304,YI005,Barn swallow
810694,ZT001,Eastern meadowlark
1063855,N6,"Sandpipers, curlews, phalaropes, allies"
811446,1C2,Microbats
817879,UNKB,Unknown bird
810698,Q2101,Yellow-billed cuckoo
819882,YI005,Barn swallow
810822,YI005,Barn swallow
811143,1C2201,Brazilian free-tailed bat
818966,UNKBL,Unknown bird - large
805588,1C2101,Eastern red bat
805447,1C2101,Eastern red bat
817880,UNKB,Unknown bird
822688,ZT001,Eastern meadowlark
817881,UNKB,Unknown bird
819891,O2205,Mourning dove
817882,UNKB,Unknown bird
819871,N5111,Killdeer
805563,T1002,Chimney swift
805066,Y,Perching birds (y)
805353,YH004,Horned lark
805381,YI009,Cliff swallow
805746,N5111,Killdeer
805700,K1001,Black vulture
817885,UNKB,Unknown bird
805810,O2205,Mourning dove
818870,UNKB,Unknown bird
805272,UNKBS,Unknown bird - small
805388,O2205,Mourning dove
820062,ZT001,Eastern meadowlark
819901,O2205,Mourning dove
805148,YI009,Cliff swallow
805146,1D21,Eastern cottontail
821958,UNKBS,Unknown bird - small
805421,T1002,Chimney swift
821951,UNKBS,Unknown bird - small
821939,YL001,European starling
823640,ZX3,Sparrows
821943,ZX3,Sparrows
804413,NE114,Laughing gull
821809,ZT001,Eastern meadowlark
804636,ZT001,Eastern meadowlark
804502,O2205,Mourning dove
804158,ZS010,Blackpoll warbler
821948,UNKBS,Unknown bird - small
804494,T1002,Chimney swift
803972,NE1,Gulls
804922,UNKBS,Unknown bird - small
804507,1C21,Vesper bats
818869,UNKB,Unknown bird
804103,ZD102,Cedar waxwing
821938,UNKBS,Unknown bird - small
1065120,2D,Snakes
804538,T1002,Chimney swift
804739,ZT301,Common grackle
804508,Y,Perching birds (y)
819886,UNKB,Unknown bird
821952,O2205,Mourning dove
1063497,ZD102,Cedar waxwing
819873,O2205,Mourning dove
803906,ZS010,Blackpoll warbler
804584,T1002,Chimney swift
804801,UNKBL,Unknown bird - large
804807,1C2,Microbats
804660,Z5301,Gray catbird
804904,UNKBS,Unknown bird - small
804855,UNKBS,Unknown bird - small
804053,ZX314,Lincoln's sparrow
804774,Z5301,Gray catbird
804410,YH004,Horned lark
804218,UNKB,Unknown bird
804815,ZS016,Hooded warbler
804816,K2001,Osprey
821947,UNKBS,Unknown bird - small
819887,YI009,Cliff swallow
819888,UNKB,Unknown bird
819884,YI009,Cliff swallow
823234,UNKB,Unknown bird
803686,YI005,Barn swallow
803382,UNKBS,Unknown bird - small
803178,YI005,Barn swallow
803483,NE104,Ring-billed gull
803613,UNKBS,Unknown bird - small
823286,UNKBS,Unknown bird - small
818802,UNKB,Unknown bird
803177,1C2101,Eastern red bat
803450,UNKBS,Unknown bird - small
803228,UNKBS,Unknown bird - small
823333,YI005,Barn swallow
823302,YI001,Purple martin
823334,YI001,Purple martin
821806,NE104,Ring-billed gull
803441,ZT001,Eastern meadowlark
819629,UNKB,Unknown bird
823254,UNKB,Unknown bird
803211,1G11,White-tailed deer
821805,NE1,Gulls
803326,E1001,Common loon
802685,ZT001,Eastern meadowlark
803414,NE115,Bonaparte's gull
803313,N6039,Wilson's snipe
803424,1C2201,Brazilian free-tailed bat
803361,1C2201,Brazilian free-tailed bat
802738,1C2201,Brazilian free-tailed bat
803075,YI010,Tree swallow
802737,Z9001,Golden-crowned kinglet
819896,UNKB,Unknown bird
821956,ZT001,Eastern meadowlark
818757,UNKB,Unknown bird
803073,YH004,Horned lark
1050559,NE141,White-headed gull complex
802864,UNKBB,Unknown bird or bat
802774,N5111,Killdeer
822685,K3302,Red-tailed hawk
802532,NE104,Ring-billed gull
821941,YL001,European starling
802661,J2109,Mallard
802500,1C2,Microbats
819902,UNKBS,Unknown bird - small
802561,ZX302,Swamp sparrow
802562,1C2201,Brazilian free-tailed bat
802547,ZT001,Eastern meadowlark
819885,ZC204,American pipit
819630,UNKBM,Unknown bird - medium
802474,ZS009,Yellow-rumped warbler
802359,NE1,Gulls
802333,K1001,Black vulture
802442,UNKBS,Unknown bird - small
1065095,K3302,Red-tailed hawk
802243,K5114,American kestrel
802265,ZS009,Yellow-rumped warbler
802083,N6011,American woodcock
819894,UNKB,Unknown bird
808460,UNKBM,Unknown bird - medium
808456,NE1,Gulls
801901,ZD102,Cedar waxwing
808429,YL001,European starling
801641,ZT001,Eastern meadowlark
801822,O2205,Mourning dove
801672,UNKBS,Unknown bird - small
801667,ZX017,American goldfinch
801810,ZD102,Cedar waxwing
801581,ZD102,Cedar waxwing
808359,ZD102,Cedar waxwing
801043,ZD102,Cedar waxwing
801597,ZC204,American pipit
808338,UNKB,Unknown bird
801501,N5111,Killdeer
801586,Y,Perching birds (y)
808317,UNKB,Unknown bird
801195,Z6007,American robin
801191,UNKB,Unknown bird
787856,ZD102,Cedar waxwing
801364,Z6007,American robin
801578,Z9002,Ruby-crowned kinglet
801332,UNKB,Unknown bird
1063272,M7005,American coot
808283,ZT001,Eastern meadowlark
801293,ZT001,Eastern meadowlark
801282,UNKBS,Unknown bird - small
808273,Z6007,American robin
801252,Z6007,American robin
801257,UNKB,Unknown bird
1065023,N6011,American woodcock
808272,J22,Geese
808713,UNKB,Unknown bird
809854,UNKBS,Unknown bird - small
801237,Z6007,American robin
788321,UNKBS,Unknown bird - small
1063473,ZT001,Eastern meadowlark
801136,UNKB,Unknown bird
801178,UNKBS,Unknown bird - small
801127,ZD102,Cedar waxwing
801033,Z6007,American robin
800783,1F41,Striped skunk
800549,ZS009,Yellow-rumped warbler
801583,ZT301,Common grackle
800560,UNKBS,Unknown bird - small
788264,ZT301,Common grackle
800776,UNKBS,Unknown bird - small
801585,YI010,Tree swallow
801607,ZS009,Yellow-rumped warbler
800988,UNKBS,Unknown bird - small
809551,UNKBS,Unknown bird - small
810007,UNKB,Unknown bird
800871,Z9002,Ruby-crowned kinglet
800724,O2205,Mourning dove
808169,ZX203,Indigo bunting
800715,UNKBM,Unknown bird - medium
808809,UNKBS,Unknown bird - small
800809,UNKBS,Unknown bird - small
800698,UNKBS,Unknown bird - small
808145,UNKBM,Unknown bird - medium
800612,1C2102,Hoary bat
800680,ZX305,White-throated sparrow
800607,ZT001,Eastern meadowlark
800605,UNKB,Unknown bird
800012,ZX305,White-throated sparrow
835756,K1001,Black vulture
835834,ZS008,Common yellowthroat
800588,ZS009,Yellow-rumped warbler
808082,UNKB,Unknown bird
800374,UNKB,Unknown bird
800497,ZS035,Bay-breasted warbler
800496,Z6018,Wood thrush
788443,Z6004,Swainson's thrush
810232,UNKB,Unknown bird
800509,UNKBS,Unknown bird - small
800990,UNKB,Unknown bird
800348,UNKB,Unknown bird
808063,Z6004,Swainson's thrush
800341,UNKBS,Unknown bird - small
808741,UNKB,Unknown bird
808028,UNKB,Unknown bird
808034,ZX005,Rose-breasted grosbeak
787838,ZS032,Tennessee warbler
800334,Z6016,Gray-cheeked thrush
800333,Z6016,Gray-cheeked thrush
787939,ZS035,Bay-breasted warbler
788304,X6102,Yellow-bellied sapsucker
808015,UNKBS,Unknown bird - small
787837,ZV003,Summer tanager
788151,ZS019,Nashville warbler
810006,UNKBS,Unknown bird - small
800296,UNKBL,Unknown bird - large
800117,UNKB,Unknown bird
807989,UNKB,Unknown bird
787180,1F11,Coyote
800952,UNKBL,Unknown bird - large
807985,UNKB,Unknown bird
973194,UNKBS,Unknown bird - small
799974,Z6004,Swainson's thrush
807965,T1002,Chimney swift
809085,UNKBS,Unknown bird - small
788156,UNKBS,Unknown bird - small
807939,UNKBS,Unknown bird - small
799830,Z6004,Swainson's thrush
799803,Z6004,Swainson's thrush
799315,UNKB,Unknown bird
799800,Z6004,Swainson's thrush
807902,Z6004,Swainson's thrush
788415,1C22,Free-tailed bats
799601,O2205,Mourning dove
807896,UNKBL,Unknown bird - large
799560,ZX3,Sparrows
798930,ZS023,Palm warbler
799781,ZT001,Eastern meadowlark
799794,T3001,Ruby-throated hummingbird
799755,YL001,European starling
835469,UNKB,Unknown bird
835897,UNKB,Unknown bird
799665,ZL005,Red-eyed vireo
799495,ZL005,Red-eyed vireo
807833,UNKB,Unknown bird
807832,T1002,Chimney swift
799501,ZX017,American goldfinch
808479,UNKBB,Unknown bird or bat
799557,ZS023,Palm warbler
799556,Z6004,Swainson's thrush
799575,T1002,Chimney swift
799574,ZX210,Lazuli bunting
799579,Z6004,Swainson's thrush
799565,ZT001,Eastern meadowlark
788394,ZS035,Bay-breasted warbler
1064343,K1002,Turkey vulture
799613,UNKB,Unknown bird
799532,UNKB,Unknown bird
1061865,ZS032,Tennessee warbler
807805,ZS023,Palm warbler
799879,UNKBS,Unknown bird - small
798612,M7001,Sora
809280,UNKB,Unknown bird
807772,K3302,Red-tailed hawk
807764,T1002,Chimney swift
807754,T1002,Chimney swift
807745,K1002,Turkey vulture
807739,O2205,Mourning dove
807728,UNKBS,Unknown bird - small
788344,O2205,Mourning dove
798953,ZS001,Canada warbler
799249,1C2107,Seminole bat
799243,UNKB,Unknown bird
799235,N5111,Killdeer
788318,UNKBS,Unknown bird - small
807684,UNKB,Unknown bird
807685,UNKB,Unknown bird
799051,UNKBM,Unknown bird - medium
798988,S5213,Common nighthawk
798970,1C2,Microbats
798758,1F11,Coyote
807628,UNKBS,Unknown bird - small
798794,UNKBS,Unknown bird - small
798901,2A,Turtles
809215,UNKBS,Unknown bird - small
798620,1D21,Eastern cottontail
798735,UNKBS,Unknown bird - small
798641,O2205,Mourning dove
807616,UNKB,Unknown bird
798580,N5111,Killdeer
798357,UNKBS,Unknown bird - small
798404,UNKBS,Unknown bird - small
797570,UNKB,Unknown bird
797576,T1002,Chimney swift
807558,T1002,Chimney swift
1065315,K3302,Red-tailed hawk
797756,T1002,Chimney swift
807530,T1002,Chimney swift
807528,UNKB,Unknown bird
798128,UNKBM,Unknown bird - medium
798360,YL001,European starling
807497,UNKB,Unknown bird
807480,UNKBS,Unknown bird - small
807483,T1002,Chimney swift
798225,T3001,Ruby-throated hummingbird
798224,T1002,Chimney swift
807448,UNKB,Unknown bird
807461,K1002,Turkey vulture
798173,N5111,Killdeer
788216,ZS026,Prothonotary warbler
807408,K1002,Turkey vulture
797713,UNKBM,Unknown bird - medium
798087,1C21,Vesper bats
808646,UNKB,Unknown bird
797499,1C21,Vesper bats
807360,NE1,Gulls
797999,T1002,Chimney swift
797982,YI005,Barn swallow
797871,UNKB,Unknown bird
807323,UNKB,Unknown bird
797742,UNKB,Unknown bird
797579,UNKBM,Unknown bird - medium
797865,UNKBS,Unknown bird - small
787913,YI005,Barn swallow
973346,YM11,Crows
1064311,R2009,Barred owl
797797,UNKBS,Unknown bird - small
797416,N5111,Killdeer
817908,UNKB,Unknown bird
788144,K1002,Turkey vulture
807246,N5111,Killdeer
797402,T1002,Chimney swift
798656,UNKBS,Unknown bird - small
807230,YI005,Barn swallow
797520,UNKBS,Unknown bird - small
1063252,YI005,Barn swallow
797611,UNKBS,Unknown bird - small
807189,ZT001,Eastern meadowlark
788012,ZT001,Eastern meadowlark
796490,YL001,European starling
807158,1C21,Vesper bats
807154,UNKB,Unknown bird
796443,K1002,Turkey vulture
807141,1C2,Microbats
796424,1C21,Vesper bats
795913,UNKB,Unknown bird
787277,YI,Swallows
788037,ZX017,American goldfinch
796217,N5111,Killdeer
796306,UNKBS,Unknown bird - small
795733,UNKBS,Unknown bird - small
807045,UNKB,Unknown bird
795458,UNKB,Unknown bird
795460,UNKBS,Unknown bird - small
796034,UNKBS,Unknown bird - small
787996,N5111,Killdeer
795878,UNKBS,Unknown bird - small
795391,UNKB,Unknown bird
809420,UNKB,Unknown bird
795429,UNKBS,Unknown bird - small
795620,YL001,European starling
806970,UNKB,Unknown bird
806966,YL001,European starling
806971,T1002,Chimney swift
795386,T1002,Chimney swift
795851,N5111,Killdeer
796008,T1002,Chimney swift
795852,O2205,Mourning dove
806955,O2205,Mourning dove
795961,YI005,Barn swallow
795724,UNKB,Unknown bird
806938,UNKBM,Unknown bird - medium
806930,K33,Hawks
796944,YI005,Barn swallow
787401,YL001,European starling
795471,UNKBS,Unknown bird - small
796025,YL001,European starling
787524,UNKBS,Unknown bird - small
795609,UNKB,Unknown bird
806855,ZX3,Sparrows
1063402,ZT001,Eastern meadowlark
787175,I1102,Great blue heron
795546,UNKBS,Unknown bird - small
797055,UNKBS,Unknown bird - small
806799,UNKBS,Unknown bird - small
796828,T1002,Chimney swift
806752,UNKB,Unknown bird
806747,UNKB,Unknown bird
797085,UNKBS,Unknown bird - small
796080,Y,Perching birds (y)
806722,YI009,Cliff swallow
796983,Z6015,Eastern bluebird
796960,UNKBS,Unknown bird - small
797133,UNKBS,Unknown bird - small
797071,ZT001,Eastern meadowlark
806685,YI009,Cliff swallow
808929,UNKB,Unknown bird
806621,Z6007,American robin
796745,R1101,Barn owl
806614,UNKB,Unknown bird
796670,N51,Plovers
806590,T1002,Chimney swift
796631,K3302,Red-tailed hawk
806587,YL001,European starling
806575,UNKB,Unknown bird
793987,UNKB,Unknown bird
806565,YL001,European starling
793962,YL001,European starling
793976,UNKB,Unknown bird
793670,Y,Perching birds (y)
787423,YL001,European starling
793926,1C21,Vesper bats
809201,UNKB,Unknown bird
793886,ZX203,Indigo bunting
787744,Q2104,Black-billed cuckoo
806509,YL001,European starling
793858,UNKB,Unknown bird
787397,T1002,Chimney swift
806495,UNKB,Unknown bird
793820,YL001,European starling
793483,K3311,Cooper's hawk
806451,YL001,European starling
793504,O2205,Mourning dove
793627,T1002,Chimney swift
793590,UNKB,Unknown bird
806413,UNKB,Unknown bird
806417,K5114,American kestrel
792561,ZX303,Savannah sparrow
806403,YI005,Barn swallow
787628,YI005,Barn swallow
806391,YL001,European starling
806378,T1002,Chimney swift
793237,UNKBS,Unknown bird - small
787732,ZD102,Cedar waxwing
806355,UNKBS,Unknown bird - small
793218,O2205,Mourning dove
793177,YL001,European starling
787697,ZD102,Cedar waxwing
792679,ZT201,Baltimore oriole
793148,1C2,Microbats
806317,UNKB,Unknown bird
787685,YI005,Barn swallow
787695,UNKBS,Unknown bird - small
809999,UNKB,Unknown bird
792974,UNKBS,Unknown bird - small
793070,N5111,Killdeer
792545,YI,Swallows
793021,UNKB,Unknown bird
1064248,ZS009,Yellow-rumped warbler
792540,NE1,Gulls
792539,UNKBS,Unknown bird - small
792635,ZD102,Cedar waxwing
792936,UNKB,Unknown bird
792929,1C2,Microbats
1066226,N51,Plovers
806234,UNKB,Unknown bird
806230,N6039,Wilson's snipe
806228,UNKB,Unknown bird
806227,UNKB,Unknown bird
806217,K3302,Red-tailed hawk
792598,ZT101,Red-winged blackbird
806206,NE1,Gulls
792601,ZX102,Northern cardinal
792774,YI005,Barn swallow
792500,ZT001,Eastern meadowlark
792316,ZS009,Yellow-rumped warbler
792415,Z6007,American robin
792135,I1102,Great blue heron
806145,Y,Perching birds (y)
787165,ZX3,Sparrows
787164,N6039,Wilson's snipe
792370,J2109,Mallard
1063370,K3502,Northern harrier
806135,UNKBL,Unknown bird - large
787610,ZT301,Common grackle
806127,YL001,European starling
1064622,K3302,Red-tailed hawk
806117,UNKBS,Unknown bird - small
806113,N6039,Wilson's snipe
792292,K33,Hawks
792301,ZC204,American pipit
792275,Z6007,American robin
1064192,K1002,Turkey vulture
791670,ZT001,Eastern meadowlark
806076,Z6007,American robin
791795,N5111,Killdeer
806056,ZT101,Red-winged blackbird
791884,Z6007,American robin
792187,N5111,Killdeer
791853,ZX315,Song sparrow
791661,N6039,Wilson's snipe
787565,1G11,White-tailed deer
1066155,NE104,Ring-billed gull
791836,UNKB,Unknown bird
791979,ZD102,Cedar waxwing
791750,O2111,Rock pigeon
791740,NE104,Ring-billed gull
805958,YL001,European starling
791812,O2205,Mourning dove
805909,K5114,American kestrel
794577,UNKB,Unknown bird
788857,UNKB,Unknown bird
789001,UNKBM,Unknown bird - medium
787372,ZS009,Yellow-rumped warbler
789007,ZD102,Cedar waxwing
794732,ZT101,Red-winged blackbird
788969,UNKBS,Unknown bird - small
788819,ZT001,Eastern meadowlark
788630,Z6007,American robin
788872,NE104,Ring-billed gull
788932,ZS009,Yellow-rumped warbler
788947,UNKBS,Unknown bird - small
787341,O2205,Mourning dove
789061,N5111,Killdeer
789062,1F11,Coyote
789481,ZX303,Savannah sparrow
789446,1F131,Red fox
789569,ZT001,Eastern meadowlark
789560,UNKBS,Unknown bird - small
789551,O2205,Mourning dove
789534,ZS009,Yellow-rumped warbler
788702,UNKBB,Unknown bird or bat
789533,UNKBB,Unknown bird or bat
794841,UNKB,Unknown bird
789283,UNKBS,Unknown bird - small
789265,ZD102,Cedar waxwing
795179,Y,Perching birds (y)
794822,UNKBS,Unknown bird - small
789182,K3302,Red-tailed hawk
794783,UNKBB,Unknown bird or bat
789254,ZT101,Red-winged blackbird
788835,UNKBM,Unknown bird - medium
789018,N5111,Killdeer
790540,UNKBS,Unknown bird - small
790528,UNKBS,Unknown bird - small
790010,UNKBM,Unknown bird - medium
1061824,UNKBB,Unknown bird or bat
790365,Z6007,American robin
790212,X6102,Yellow-bellied sapsucker
790368,O2205,Mourning dove
790295,ZX3,Sparrows
790541,N5111,Killdeer
794582,UNKBS,Unknown bird - small
790259,ZS009,Yellow-rumped warbler
794863,UNKBS,Unknown bird - small
789664,ZX315,Song sparrow
790258,Z9002,Ruby-crowned kinglet
810231,UNKB,Unknown bird
1061812,UNKBB,Unknown bird or bat
789922,1C2101,Eastern red bat
794674,UNKBL,Unknown bird - large
790370,UNKBB,Unknown bird or bat
790348,O2111,Rock pigeon
790128,UNKB,Unknown bird
790326,UNKBB,Unknown bird or bat
1061809,ZX310,Grasshopper sparrow
794422,N5111,Killdeer
794565,UNKBS,Unknown bird - small
835332,UNKB,Unknown bird
789981,T1002,Chimney swift
789396,UNKB,Unknown bird
789971,UNKB,Unknown bird
795054,ZX303,Savannah sparrow
790253,UNKBS,Unknown bird - small
789753,ZL001,White-eyed vireo
789717,T1002,Chimney swift
810230,UNKBM,Unknown bird - medium
794134,UNKB,Unknown bird
794337,NE1,Gulls
794849,UNKB,Unknown bird
790068,UNKBS,Unknown bird - small
790192,UNKBS,Unknown bird - small
794940,UNKB,Unknown bird
789612,T1002,Chimney swift
789624,UNKB,Unknown bird
790024,Z6016,Gray-cheeked thrush
789608,UNKBS,Unknown bird - small
787152,Q2101,Yellow-billed cuckoo
790184,UNKB,Unknown bird
789620,1C2,Microbats
1062033,UNKB,Unknown bird
787147,UNKBM,Unknown bird - medium
789685,YI010,Tree swallow
788671,Z4001,Marsh wren
794778,Z6018,Wood thrush
789655,UNKBS,Unknown bird - small
795280,UNKB,Unknown bird
794728,UNKBB,Unknown bird or bat
794112,UNKB,Unknown bird
1061998,UNKBB,Unknown bird or bat
791218,YI005,Barn swallow
791114,N5104,American golden-plover
787124,N5104,American golden-plover
790917,M7014,Clapper rail
794943,UNKBB,Unknown bird or bat
791248,YM1102,American crow
790905,UNKBS,Unknown bird - small
791243,1C2101,Eastern red bat
794736,T1002,Chimney swift
794318,UNKBS,Unknown bird - small
791277,UNKBS,Unknown bird - small
791189,ZX3,Sparrows
794931,UNKBB,Unknown bird or bat
791159,Z6022,Veery
791557,UNKBB,Unknown bird or bat
791145,UNKBS,Unknown bird - small
791237,YI005,Barn swallow
1061892,Y9023,Alder flycatcher
791132,Y,Perching birds (y)
791122,ZS002,Yellow-breasted chat
795077,O2111,Rock pigeon
790855,T1002,Chimney swift
794051,UNKBS,Unknown bird - small
795267,N6,"Sandpipers, curlews, phalaropes, allies"
783282,UNKBS,Unknown bird - small
810129,T1002,Chimney swift
810020,YI005,Barn swallow
786327,UNKBS,Unknown bird - small
810224,UNKB,Unknown bird
810021,O2205,Mourning dove
810226,T1002,Chimney swift
810225,UNKB,Unknown bird
783564,UNKBS,Unknown bird - small
784374,UNKB,Unknown bird
786476,UNKB,Unknown bird
810228,N5111,Killdeer
810227,N5111,Killdeer
810229,Y,Perching birds (y)
786318,T1002,Chimney swift
810128,T1002,Chimney swift
782903,N5111,Killdeer
810127,YI005,Barn swallow
786749,T1002,Chimney swift
783346,M7001,Sora
974202,ZS006,Ovenbird
783395,O2205,Mourning dove
783394,T3001,Ruby-throated hummingbird
786709,K1001,Black vulture
783301,N5111,Killdeer
786253,T3001,Ruby-throated hummingbird
782829,1C22,Free-tailed bats
782917,YI003,Bank swallow
786149,T1002,Chimney swift
786176,UNKB,Unknown bird
783189,N5111,Killdeer
786071,UNKB,Unknown bird
786157,T1002,Chimney swift
1065184,2A,Turtles
782934,YL001,European starling
994382,UNKBS,Unknown bird - small
783180,ZX3,Sparrows
1061859,UNKB,Unknown bird
782159,1C2,Microbats
786179,YI009,Cliff swallow
786162,T1002,Chimney swift
810126,O2205,Mourning dove
782560,YM1110,Fish crow
783021,T1002,Chimney swift
782703,1C2,Microbats
782704,1C2,Microbats
786379,J2204,Canada goose
1065180,K3302,Red-tailed hawk
782751,UNKBS,Unknown bird - small
782684,ZX3,Sparrows
782476,YI005,Barn swallow
782465,UNKB,Unknown bird
786026,UNKB,Unknown bird
783051,YL001,European starling
782113,O2205,Mourning dove
781983,YI005,Barn swallow
784164,UNKB,Unknown bird
784057,YI,Swallows
784032,UNKBB,Unknown bird or bat
782418,YL001,European starling
782453,N6001,Upland sandpiper
782377,N5111,Killdeer
810125,O2205,Mourning dove
786569,UNKBS,Unknown bird - small
783129,YI005,Barn swallow
783850,T1002,Chimney swift
783950,UNKBS,Unknown bird - small
783955,UNKBS,Unknown bird - small
786527,UNKB,Unknown bird
782316,1C2,Microbats
784098,UNKBB,Unknown bird or bat
781657,O2205,Mourning dove
783659,UNKBS,Unknown bird - small
783898,N5111,Killdeer
783899,UNKBS,Unknown bird - small
782253,ZX029,Blue grosbeak
782252,ZT001,Eastern meadowlark
784080,ZT001,Eastern meadowlark
783760,YI005,Barn swallow
783122,ZX3,Sparrows
783837,ZT001,Eastern meadowlark
782079,O2205,Mourning dove
786020,O2205,Mourning dove
783822,YI005,Barn swallow
784402,O2111,Rock pigeon
783821,O2205,Mourning dove
786674,UNKBS,Unknown bird - small
781889,O2205,Mourning dove
781890,N5111,Killdeer
786531,YI,Swallows
781744,N5111,Killdeer
784375,UNKBS,Unknown bird - small
781769,UNKBS,Unknown bird - small
785989,UNKBS,Unknown bird - small
781630,YI005,Barn swallow
784492,UNKB,Unknown bird
784673,UNKB,Unknown bird
785935,UNKBS,Unknown bird - small
781205,Y,Perching birds (y)
780882,ZT001,Eastern meadowlark
781204,1C2,Microbats
785932,O2205,Mourning dove
785921,YL001,European starling
781166,YL001,European starling
784672,UNKBS,Unknown bird - small
785963,K5114,American kestrel
785818,YI009,Cliff swallow
1066351,YM1102,American crow
781540,YI009,Cliff swallow
785891,YL001,European starling
785879,YI009,Cliff swallow
785949,O2205,Mourning dove
781040,T1002,Chimney swift
780985,UNKBS,Unknown bird - small
781481,N5111,Killdeer
785787,UNKB,Unknown bird
785812,O2205,Mourning dove
780676,Y,Perching birds (y)
780703,UNKB,Unknown bird
780724,UNKBS,Unknown bird - small
785739,YI009,Cliff swallow
785749,UNKBS,Unknown bird - small
785748,UNKBS,Unknown bird - small
781408,K2001,Osprey
785670,YL001,European starling
780539,UNKB,Unknown bird
785645,YL001,European starling
785642,YL001,European starling
780471,ZX3,Sparrows
785647,T1002,Chimney swift
780433,UNKBS,Unknown bird - small
780418,1C2,Microbats
785629,UNKB,Unknown bird
785459,YL001,European starling
780376,T1002,Chimney swift
780359,K3311,Cooper's hawk
780367,UNKBS,Unknown bird - small
780368,UNKB,Unknown bird
785526,Y,Perching birds (y)
780343,ZL005,Red-eyed vireo
780075,YL001,European starling
780316,YI005,Barn swallow
780088,J2109,Mallard
780297,YL001,European starling
780214,ZL005,Red-eyed vireo
785568,UNKB,Unknown bird
779979,N5111,Killdeer
785532,Z6007,American robin
785534,UNKB,Unknown bird
779924,UNKBS,Unknown bird - small
785477,ZD102,Cedar waxwing
785473,UNKBS,Unknown bird - small
785472,YI009,Cliff swallow
779845,YI009,Cliff swallow
779768,UNKBS,Unknown bird - small
779757,UNKBS,Unknown bird - small
779724,YI009,Cliff swallow
784251,UNKB,Unknown bird
785421,UNKB,Unknown bird
785415,UNKB,Unknown bird
779663,UNKBS,Unknown bird - small
779633,ZV001,Scarlet tanager
779135,YI005,Barn swallow
779127,YL001,European starling
785363,ZX3,Sparrows
779810,Y,Perching birds (y)
785377,UNKBS,Unknown bird - small
779575,UNKBS,Unknown bird - small
779576,UNKB,Unknown bird
785388,ZX004,Dark-eyed junco
779520,ZX017,American goldfinch
779332,1C2101,Eastern red bat
785256,UNKB,Unknown bird
779315,UNKBS,Unknown bird - small
779209,1F11,Coyote
779300,1G11,White-tailed deer
785302,K1002,Turkey vulture
779263,1C2201,Brazilian free-tailed bat
778779,K33,Hawks
779808,O2205,Mourning dove
778739,UNKB,Unknown bird
785242,NE101,Herring gull
778985,UNKBS,Unknown bird - small
779053,1C2,Microbats
785215,K5114,American kestrel
785222,UNKB,Unknown bird
785227,K5114,American kestrel
785201,NE1,Gulls
785195,UNKB,Unknown bird
778834,1C2201,Brazilian free-tailed bat
781328,UNKBM,Unknown bird - medium
781327,UNKBS,Unknown bird - small
779004,O2205,Mourning dove
778903,Z6007,American robin
778806,1C2201,Brazilian free-tailed bat
785161,UNKB,Unknown bird
785140,NE1,Gulls
778744,UNKB,Unknown bird
