INDX_NR,SPECIES_ID,SPECIES
986397,UNKB,Unknown bird
1061094,UNKB,Unknown bird
1060854,UNKB,Unknown bird
986412,UNKB,Unknown bird
976098,N5111,Killdeer
976027,UNKB,Unknown bird
1037266,UNKB,Unknown bird
975862,NE104,Ring-billed gull
975821,NE,"Gulls, terns, kittiwakes"
1050625,UNKB,Unknown bird
975655,O2111,Rock pigeon
975223,ZX303,Savannah sparrow
974912,O2205,Mourning dove
974839,Y9013,Eastern phoebe
973735,ZT001,Eastern meadowlark
975021,UNKBS,Unknown bird - small
973748,UNKBS,Unknown bird - small
974965,ZT001,Eastern meadowlark
973413,YL001,European starling
973420,1F11,Coyote
973269,UNKBS,Unknown bird - small
973256,UNKBS,Unknown bird - small
973257,UNKB,Unknown bird
992368,UNKB,Unknown bird
972887,1F11,Coyote
973030,O2205,Mourning dove
972789,R2203,Great horned owl
972783,Z6007,American robin
972740,K5114,American kestrel
972742,UNKB,Unknown bird
972498,UNKB,Unknown bird
972425,K3302,Red-tailed hawk
993069,UNKB,Unknown bird
972322,ZD102,Cedar waxwing
992736,UNKB,Unknown bird
972292,YH004,Horned lark
972099,O2205,Mourning dove
971814,ZD102,Cedar waxwing
971660,N5111,Killdeer
974817,O2205,Mourning dove
971670,O2205,Mourning dove
1006149,UNKB,Unknown bird
974792,UNKBS,Unknown bird - small
971274,ZX313,Chipping sparrow
971155,UNKB,Unknown bird
971176,Z6007,American robin
972439,J21,Ducks
972261,UNKBS,Unknown bird - small
972254,Z6007,American robin
972247,E1001,Common loon
992899,UNKB,Unknown bird
992825,UNKB,Unknown bird
992424,Z6007,American robin
971918,N5111,Killdeer
971852,ZX004,Dark-eyed junco
994793,UNKBS,Unknown bird - small
971780,N5111,Killdeer
971102,Z6014,Hermit thrush
971792,Z6007,American robin
971630,H4105,Double-crested cormorant
971322,UNKBM,Unknown bird - medium
992768,UNKB,Unknown bird
971263,ZD102,Cedar waxwing
970853,YI010,Tree swallow
971093,J2140,Ruddy duck
970967,ZX3,Sparrows
974578,UNKBM,Unknown bird - medium
970868,ZX305,White-throated sparrow
970959,K5102,Peregrine falcon
970944,Z6014,Hermit thrush
970898,Z6014,Hermit thrush
970901,Z9002,Ruby-crowned kinglet
970153,1F11,Coyote
970159,Z9002,Ruby-crowned kinglet
970251,Y,Perching birds (y)
970293,UNKBS,Unknown bird - small
974326,UNKB,Unknown bird
970455,F1003,Pied-billed grebe
970701,YI,Swallows
993173,UNKBS,Unknown bird - small
993174,UNKB,Unknown bird
993176,UNKB,Unknown bird
993172,UNKB,Unknown bird
993171,UNKB,Unknown bird
993170,UNKB,Unknown bird
970658,UNKBS,Unknown bird - small
969884,ZX302,Swamp sparrow
969893,YI010,Tree swallow
969887,1C2101,Eastern red bat
974201,ZS035,Bay-breasted warbler
969881,Z6004,Swainson's thrush
974182,UNKB,Unknown bird
1006124,UNKB,Unknown bird
994433,1F41,Striped skunk
948814,YI010,Tree swallow
948729,UNKBS,Unknown bird - small
948778,YI010,Tree swallow
948703,ZX303,Savannah sparrow
948632,UNKB,Unknown bird
948640,ZX303,Savannah sparrow
993135,UNKBS,Unknown bird - small
993133,UNKB,Unknown bird
993134,UNKB,Unknown bird
993136,UNKB,Unknown bird
993138,UNKB,Unknown bird
1021085,UNKBS,Unknown bird - small
993139,UNKB,Unknown bird
948537,UNKB,Unknown bird
948538,UNKBS,Unknown bird - small
948539,UNKBS,Unknown bird - small
995323,UNKBS,Unknown bird - small
995287,UNKBS,Unknown bird - small
995396,UNKB,Unknown bird
1021108,UNKBS,Unknown bird - small
948515,ZS003,Pine warbler
948517,UNKB,Unknown bird
948245,UNKBS,Unknown bird - small
948206,UNKBM,Unknown bird - medium
948204,1F11,Coyote
994518,UNKBS,Unknown bird - small
948223,O2111,Rock pigeon
948225,N5111,Killdeer
993120,UNKB,Unknown bird
948292,1C2201,Brazilian free-tailed bat
1080071,O2205,Mourning dove
948109,UNKB,Unknown bird
993102,UNKB,Unknown bird
993107,UNKBL,Unknown bird - large
948142,UNKBS,Unknown bird - small
974088,ZS004,Black-and-white warbler
947648,O2205,Mourning dove
974051,UNKBM,Unknown bird - medium
1035008,UNKBS,Unknown bird - small
947575,T1002,Chimney swift
947564,ZV001,Scarlet tanager
947444,ZT001,Eastern meadowlark
947457,UNKB,Unknown bird
947636,ZS035,Bay-breasted warbler
995377,UNKB,Unknown bird
993059,UNKB,Unknown bird
993083,UNKB,Unknown bird
992417,UNKBS,Unknown bird - small
993065,UNKB,Unknown bird
993852,UNKB,Unknown bird
993061,UNKB,Unknown bird
993060,UNKB,Unknown bird
993058,UNKB,Unknown bird
947400,O2205,Mourning dove
993053,UNKB,Unknown bird
947041,Z6004,Swainson's thrush
947044,ZS015,Cape May warbler
946955,NE114,Laughing gull
974045,Z5301,Gray catbird
946787,UNKB,Unknown bird
946782,Y9013,Eastern phoebe
946778,Z9002,Ruby-crowned kinglet
976227,YM1102,American crow
946680,ZS015,Cape May warbler
946684,UNKBS,Unknown bird - small
946607,UNKB,Unknown bird
994418,UNKBM,Unknown bird - medium
946177,UNKBS,Unknown bird - small
946228,UNKB,Unknown bird
993004,UNKB,Unknown bird
946173,ZX309,White-crowned sparrow
935803,1C2,Microbats
935804,1C2,Microbats
935772,UNKBM,Unknown bird - medium
992983,UNKB,Unknown bird
992969,UNKB,Unknown bird
935651,Y,Perching birds (y)
935405,ZV001,Scarlet tanager
935408,ZV001,Scarlet tanager
935392,UNKBM,Unknown bird - medium
935224,UNKBS,Unknown bird - small
935412,Q2101,Yellow-billed cuckoo
935404,ZS006,Ovenbird
974231,UNKB,Unknown bird
934931,UNKB,Unknown bird
935193,T1002,Chimney swift
970897,T1002,Chimney swift
973683,UNKBS,Unknown bird - small
934970,UNKB,Unknown bird
969975,K5114,American kestrel
994302,UNKB,Unknown bird
973124,UNKBS,Unknown bird - small
970915,T1002,Chimney swift
969856,UNKB,Unknown bird
969805,UNKB,Unknown bird
971230,K2001,Osprey
970640,UNKB,Unknown bird
969704,ZS,New World wood-warblers
959514,UNKBS,Unknown bird - small
959527,N5111,Killdeer
969638,J2107,Blue-winged teal
949047,UNKB,Unknown bird
948913,UNKBS,Unknown bird - small
970910,1C2101,Eastern red bat
948935,Z6004,Swainson's thrush
948611,UNKB,Unknown bird
948477,UNKBS,Unknown bird - small
1020361,UNKBM,Unknown bird - medium
948302,1F4,Skunks
948171,K3304,Red-shouldered hawk
948146,UNKB,Unknown bird
947901,UNKB,Unknown bird
971739,N5111,Killdeer
947788,ZS006,Ovenbird
947614,UNKB,Unknown bird
947426,UNKBS,Unknown bird - small
947340,YL001,European starling
947576,T1002,Chimney swift
947328,Z6004,Swainson's thrush
947085,ZL005,Red-eyed vireo
1020360,UNKB,Unknown bird
946988,ZS006,Ovenbird
946843,UNKBS,Unknown bird - small
946830,T1002,Chimney swift
946767,Y,Perching birds (y)
946674,ZS015,Cape May warbler
992762,UNKB,Unknown bird
974441,O2205,Mourning dove
946330,YH004,Horned lark
946402,O2205,Mourning dove
973106,UNKBS,Unknown bird - small
946319,Z8007,Blue-gray gnatcatcher
970457,UNKBS,Unknown bird - small
946280,O2205,Mourning dove
946133,ZS024,Magnolia warbler
946136,UNKB,Unknown bird
973096,J2204,Canada goose
935379,NE1,Gulls
935541,NE114,Laughing gull
935328,UNKB,Unknown bird
935022,UNKBS,Unknown bird - small
992666,UNKB,Unknown bird
992661,UNKBM,Unknown bird - medium
921522,1C2,Microbats
934853,ZL005,Red-eyed vireo
921485,R1101,Barn owl
992586,UNKB,Unknown bird
1006157,UNKBS,Unknown bird - small
921618,H4105,Double-crested cormorant
988459,1F11,Coyote
922612,S5213,Common nighthawk
922609,T1002,Chimney swift
922621,UNKB,Unknown bird
922673,UNKB,Unknown bird
922696,UNKBS,Unknown bird - small
933071,UNKBM,Unknown bird - medium
992517,UNKB,Unknown bird
994689,O2205,Mourning dove
922991,T1002,Chimney swift
934839,N6017,Pectoral sandpiper
933452,YI010,Tree swallow
933206,N6011,American woodcock
933199,Y,Perching birds (y)
933587,1C2101,Eastern red bat
934801,UNKB,Unknown bird
994582,UNKB,Unknown bird
933815,UNKBS,Unknown bird - small
934731,YI005,Barn swallow
933781,N5111,Killdeer
933919,YL001,European starling
933966,O2111,Rock pigeon
933957,1C2201,Brazilian free-tailed bat
934314,N5111,Killdeer
934228,UNKBS,Unknown bird - small
934327,YI005,Barn swallow
934525,N5111,Killdeer
934382,YI005,Barn swallow
986843,UNKBS,Unknown bird - small
994813,UNKBS,Unknown bird - small
934593,1C2,Microbats
934620,UNKBS,Unknown bird - small
992364,UNKB,Unknown bird
971735,YI005,Barn swallow
995117,NE114,Laughing gull
934027,N5111,Killdeer
934099,YI005,Barn swallow
933959,YI005,Barn swallow
986802,UNKBS,Unknown bird - small
994329,UNKB,Unknown bird
933561,1C2,Microbats
866715,YI005,Barn swallow
933533,T1002,Chimney swift
933504,UNKBS,Unknown bird - small
987108,UNKB,Unknown bird
866605,K3302,Red-tailed hawk
922974,1D21,Eastern cottontail
934778,ZX3,Sparrows
994593,UNKB,Unknown bird
986961,O2205,Mourning dove
934777,UNKB,Unknown bird
922724,UNKBS,Unknown bird - small
