INDX_NR,INCIDENT_DATE ,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,RUNWAY,STATE,FAAREGION,LOCATION,ENROUTE STATE,OPID,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,OTHER_COST,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED,INDICATED_DAMAGE,DAMAGE_LEVEL,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SPECIES_ID,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,WARNED,BIRDS_SEEN,BIRDS_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENT,REPORTER_NAME,REPORTER_TITLE,SOURCE,PERSON,LUPDATE,TRANSFER
829239,1999-11-01,11,1999,     ,Day,KILM,WILMINGTON INTL, ,NC,ASO ,,,MIL, , ,C-17A,148,,,,A  ,,,,,,,,Climb,700.0,160.0,,Some Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,ZX,,True,True,Unknown, 1, 1,Small,,,SOURCE = BASH NR XXXXX /Legacy Record=XXXX/,REDACTED,REDACTED,BASH,,2009-10-21,False
631530,1999-10-25,10,1999,     ,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 23,NC,ASO ,,,ASH, N814AE, ,BA-31 JETSTR,168,3.0,19.0,4.0,A  ,2.0,C,2.0,4.0,4.0,,,Approach,30.0,120.0,,No Cloud, None,,,,,,False,False,N,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,, None,,YL001,STANDING NOTAM WARNING. CC AIR C5009,False,False,Yes, , 2-10,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,2000-01-19,False
633963,1999-10-22,10,1999,     ,Night,KGSO,PIEDMONT TRIAD INTL, 23,NC,ASO ,10 MI E,,MDC, N9525B, ,C-208,226,42.0,31.0,4.0,A  ,2.0,C,1.0,7.0,,,,Approach,2500.0,170.0,10.0,Some Cloud, None,,,,,,False,True,M,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,, None,,UNKBL,"FULL MOON. LRG BIRD, POSSIBLY A GOOSE HIT L WING AND STALL VANE.  LRG DENT SEVERAL INCHES ACROSS ON LE OF L WING. STALL VANE CRUSHED IN CAUSING STALL HORN TO SOUND.",False,False,No, , 1,Large,,,SOURCE =  TWO XXXX-X & AAIPN (X/X/XXXX UPDATED WITH XND XXXX-X) /Legacy Record=XXXXXX/,REDACTED,REDACTED,Multiple,Tower,2015-09-09,False
635163,1999-10-22,10,1999,     ,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 18L,NC,ASO ,,,BUS, N533CC, ,C-650,226,39.0,19.0,1.0,A  ,3.0,D,2.0,5.0,5.0,,,Approach,100.0,128.0,,No Cloud, None,,,,,,False,False,N,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,, None,,YL001,,False,False,No, 11-100, 2-10,Small,,,OPER = TEAL AVTN /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,2000-01-14,False
637320,1999-10-19,10,1999,     ,,KRDU,RALEIGH-DURHAM INTL, ,NC,ASO ,,,NWA, N925US, ,DC-9-30,583,21.0,34.0,10.0,A  ,4.0,D,2.0,5.0,5.0,,,Approach,1500.0,,,,,,,,,,False,False,N,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,UNKBM,FLT 1842. REMOVED DEBRIS. INSPCTD.,False,False,Unknown, , 1,Medium,,,#XXXX/XX/DXX /Legacy Record=XXXXXX/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,2000-05-19,False
630311,1999-10-18,10,1999,19:20,Dusk,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 23,NC,ASO ,,,USA, N913VJ, ,DC-9-30,583,21.0,34.0,10.0,A  ,4.0,D,2.0,5.0,5.0,,,Approach,150.0,135.0,,No Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,UNKBS,,False,False,Unknown, 1, 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Air Transport Operations,2000-01-18,False
633693,1999-10-18,10,1999,21:53,Night,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,NC,ASO ,,,USA, N518AU, ,B-737-300,148,24.0,10.0,1.0,A  ,4.0,D,2.0,1.0,1.0,,,Approach,3000.0,,,No Cloud, None,,,,,,False,False,N,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,UNKBS,,False,False,No, , 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,2000-01-11,False
634576,1999-10-18,10,1999,     ,Night,KRDU,RALEIGH-DURHAM INTL, 5L,NC,ASO ,,,AAL, N861AA, ,B-727-200,148,11.0,34.0,10.0,A  ,4.0,D,3.0,5.0,6.0,5.0,,Approach,500.0,150.0,,Some Cloud, None,,,,,,False,False,N,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,UNKBS,,False,False,Yes, , 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,2000-01-11,False
634291,1999-10-13,10,1999,08:16,Day,KAVL,ASHEVILLE REGIONAL ARPT, 16,NC,ASO ,,,BUS, N745TA, ,BE-400 BJET,123,32.0,31.0,1.0,A  ,2.0,D,2.0,5.0,5.0,,,Climb,400.0,170.0,,Overcast, Rain,,,,,,False,False,N,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,UNKBS,LIGHT RAIN,False,False,No, 1, 1,Small,,,OPER = RAYTHEON TRAVEL AIR /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Pilot,2000-01-07,False
634549,1999-10-13,10,1999,     ,Day,KRDU,RALEIGH-DURHAM INTL, 23L,NC,ASO ,,,USA, N713UW, ,A-319,04A,6.0,10.0,1.0,A  ,4.0,D,2.0,1.0,1.0,,,Climb,2000.0,180.0,,Some Cloud, Rain,,,,,,False,False,N,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,UNKBS,,False,False,No, 1, 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,2000-01-07,False
